epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6329,3.54635,0.20875,0.58052,3.28144,8.2672e-05,8.2672e-05,8.2672e-05
2,111.399,2.98456,0.63221,0.94433,2.17254,0.000157788,0.000157788,0.000157788
3,163.171,2.01266,0.79722,0.98211,1.11108,0.000224654,0.000224654,0.000224654
4,214.62,1.19952,0.8827,0.99205,0.58552,0.000212875,0.000212875,0.000212875
5,264.7,0.82163,0.90258,0.99404,0.41969,0.0002005,0.0002005,0.0002005
6,315.695,0.62415,0.92644,0.99602,0.32396,0.000188125,0.000188125,0.000188125
7,366.133,0.52294,0.94632,0.99404,0.26658,0.00017575,0.00017575,0.00017575
8,419.56,0.44357,0.93241,0.99602,0.2514,0.000163375,0.000163375,0.000163375
9,471.251,0.36978,0.93837,0.99602,0.21764,0.000151,0.000151,0.000151
10,521.961,0.34282,0.93638,1,0.2022,0.000138625,0.000138625,0.000138625
11,573.292,0.33665,0.93241,0.99801,0.20204,0.00012625,0.00012625,0.00012625
12,624.294,0.31889,0.94235,1,0.17927,0.000113875,0.000113875,0.000113875
13,676.694,0.27385,0.94235,0.99801,0.16794,0.0001015,0.0001015,0.0001015
14,727.742,0.28571,0.9503,1,0.1593,8.9125e-05,8.9125e-05,8.9125e-05
15,777.094,0.24564,0.95427,1,0.15552,7.675e-05,7.675e-05,7.675e-05
16,832.744,0.25843,0.9503,1,0.15,6.4375e-05,6.4375e-05,6.4375e-05
17,884.405,0.23608,0.95229,1,0.14655,5.2e-05,5.2e-05,5.2e-05
18,932.316,0.23113,0.95825,1,0.1481,3.9625e-05,3.9625e-05,3.9625e-05
19,979.228,0.24163,0.95825,1,0.14317,2.725e-05,2.725e-05,2.725e-05
20,1025.09,0.23998,0.96223,1,0.14017,1.4875e-05,1.4875e-05,1.4875e-05
